2017-06-02 01:07:10 install libklibc:amd64 <none> 2.0.3-0ubuntu1
2017-06-02 01:07:10 status half-installed libklibc:amd64 2.0.3-0ubuntu1
2017-06-02 01:07:10 status unpacked libklibc:amd64 2.0.3-0ubuntu1
2017-06-02 01:07:10 status unpacked libklibc:amd64 2.0.3-0ubuntu1
2017-06-02 01:07:10 install libkmod2:amd64 <none> 15-0ubuntu6
2017-06-02 01:07:10 status half-installed libkmod2:amd64 15-0ubuntu6
2017-06-02 01:07:10 status unpacked libkmod2:amd64 15-0ubuntu6
2017-06-02 01:07:10 status unpacked libkmod2:amd64 15-0ubuntu6
2017-06-02 01:07:10 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu2
2017-06-02 01:07:10 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2017-06-02 01:07:10 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2017-06-02 01:07:10 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2017-06-02 01:07:10 install libmount1:amd64 <none> 2.20.1-5.1ubuntu20
2017-06-02 01:07:10 status half-installed libmount1:amd64 2.20.1-5.1ubuntu20
2017-06-02 01:07:11 status unpacked libmount1:amd64 2.20.1-5.1ubuntu20
2017-06-02 01:07:11 status unpacked libmount1:amd64 2.20.1-5.1ubuntu20
2017-06-02 01:07:11 install libncurses5:amd64 <none> 5.9+20140118-1ubuntu1
2017-06-02 01:07:11 status half-installed libncurses5:amd64 5.9+20140118-1ubuntu1
2017-06-02 01:07:11 status unpacked libncurses5:amd64 5.9+20140118-1ubuntu1
2017-06-02 01:07:11 status unpacked libncurses5:amd64 5.9+20140118-1ubuntu1
2017-06-02 01:07:11 install libncursesw5:amd64 <none> 5.9+20140118-1ubuntu1
2017-06-02 01:07:11 status half-installed libncursesw5:amd64 5.9+20140118-1ubuntu1
2017-06-02 01:07:11 status unpacked libncursesw5:amd64 5.9+20140118-1ubuntu1
2017-06-02 01:07:11 status unpacked libncursesw5:amd64 5.9+20140118-1ubuntu1
2017-06-02 01:07:11 install libnih-dbus1:amd64 <none> 1.0.3-4ubuntu25
2017-06-02 01:07:11 status half-installed libnih-dbus1:amd64 1.0.3-4ubuntu25
2017-06-02 01:07:11 status unpacked libnih-dbus1:amd64 1.0.3-4ubuntu25
2017-06-02 01:07:11 status unpacked libnih-dbus1:amd64 1.0.3-4ubuntu25
2017-06-02 01:07:11 install libnih1:amd64 <none> 1.0.3-4ubuntu25
2017-06-02 01:07:11 status half-installed libnih1:amd64 1.0.3-4ubuntu25
2017-06-02 01:07:11 status unpacked libnih1:amd64 1.0.3-4ubuntu25
2017-06-02 01:07:11 status unpacked libnih1:amd64 1.0.3-4ubuntu25
2017-06-02 01:07:11 install libpam-modules:amd64 <none> 1.1.8-1ubuntu2
2017-06-02 01:07:11 status half-installed libpam-modules:amd64 1.1.8-1ubuntu2
2017-06-02 01:07:11 status unpacked libpam-modules:amd64 1.1.8-1ubuntu2
2017-06-02 01:07:11 status unpacked libpam-modules:amd64 1.1.8-1ubuntu2
2017-06-02 01:07:11 install libpam-modules-bin:amd64 <none> 1.1.8-1ubuntu2
2017-06-02 01:07:11 status half-installed libpam-modules-bin:amd64 1.1.8-1ubuntu2
2017-06-02 01:07:11 status unpacked libpam-modules-bin:amd64 1.1.8-1ubuntu2
2017-06-02 01:07:11 status unpacked libpam-modules-bin:amd64 1.1.8-1ubuntu2
2017-06-02 01:07:11 install libpam-runtime:all <none> 1.1.8-1ubuntu2
2017-06-02 01:07:11 status half-installed libpam-runtime:all 1.1.8-1ubuntu2
2017-06-02 01:07:11 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2017-06-02 01:07:11 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2017-06-02 01:07:11 install libpam0g:amd64 <none> 1.1.8-1ubuntu2
2017-06-02 01:07:11 status half-installed libpam0g:amd64 1.1.8-1ubuntu2
2017-06-02 01:07:11 status unpacked libpam0g:amd64 1.1.8-1ubuntu2
2017-06-02 01:07:11 status unpacked libpam0g:amd64 1.1.8-1ubuntu2
2017-06-02 01:07:11 install libpcre3:amd64 <none> 1:8.31-2ubuntu2
2017-06-02 01:07:11 status half-installed libpcre3:amd64 1:8.31-2ubuntu2
2017-06-02 01:07:11 status unpacked libpcre3:amd64 1:8.31-2ubuntu2
2017-06-02 01:07:11 status unpacked libpcre3:amd64 1:8.31-2ubuntu2
2017-06-02 01:07:11 install libplymouth2:amd64 <none> 0.8.8-0ubuntu17
2017-06-02 01:07:11 status half-installed libplymouth2:amd64 0.8.8-0ubuntu17
2017-06-02 01:07:11 status unpacked libplymouth2:amd64 0.8.8-0ubuntu17
2017-06-02 01:07:11 status unpacked libplymouth2:amd64 0.8.8-0ubuntu17
2017-06-02 01:07:11 install libpng12-0:amd64 <none> 1.2.50-1ubuntu2
2017-06-02 01:07:11 status half-installed libpng12-0:amd64 1.2.50-1ubuntu2
2017-06-02 01:07:11 status unpacked libpng12-0:amd64 1.2.50-1ubuntu2
2017-06-02 01:07:11 status unpacked libpng12-0:amd64 1.2.50-1ubuntu2
2017-06-02 01:07:11 install libprocps3:amd64 <none> 1:3.3.9-1ubuntu2
2017-06-02 01:07:11 status half-installed libprocps3:amd64 1:3.3.9-1ubuntu2
2017-06-02 01:07:11 status unpacked libprocps3:amd64 1:3.3.9-1ubuntu2
2017-06-02 01:07:11 status unpacked libprocps3:amd64 1:3.3.9-1ubuntu2
2017-06-02 01:07:11 install libselinux1:amd64 <none> 2.2.2-1
2017-06-02 01:07:11 status half-installed libselinux1:amd64 2.2.2-1
2017-06-02 01:07:11 status unpacked libselinux1:amd64 2.2.2-1
2017-06-02 01:07:11 status unpacked libselinux1:amd64 2.2.2-1
2017-06-02 01:07:11 install libsemanage-common:all <none> 2.2-1
2017-06-02 01:07:11 status half-installed libsemanage-common:all 2.2-1
2017-06-02 01:07:11 status unpacked libsemanage-common:all 2.2-1
2017-06-02 01:07:11 status unpacked libsemanage-common:all 2.2-1
2017-06-02 01:07:11 install libsemanage1:amd64 <none> 2.2-1
2017-06-02 01:07:11 status half-installed libsemanage1:amd64 2.2-1
2017-06-02 01:07:11 status unpacked libsemanage1:amd64 2.2-1
2017-06-02 01:07:11 status unpacked libsemanage1:amd64 2.2-1
2017-06-02 01:07:11 install libsepol1:amd64 <none> 2.2-1
2017-06-02 01:07:11 status half-installed libsepol1:amd64 2.2-1
2017-06-02 01:07:11 status unpacked libsepol1:amd64 2.2-1
2017-06-02 01:07:11 status unpacked libsepol1:amd64 2.2-1
2017-06-02 01:07:11 install libslang2:amd64 <none> 2.2.4-15ubuntu1
2017-06-02 01:07:11 status half-installed libslang2:amd64 2.2.4-15ubuntu1
2017-06-02 01:07:11 status unpacked libslang2:amd64 2.2.4-15ubuntu1
2017-06-02 01:07:11 status unpacked libslang2:amd64 2.2.4-15ubuntu1
2017-06-02 01:07:11 install libss2:amd64 <none> 1.42.9-3ubuntu1
